model,exp,layer,n_steps,final_norm,final_cos_prev,mean_cos_prev,net_disp,path_len,straightness,converge_frac
ifevalg-rl,vector_single1_layers0-20_lr1e-2,4,26,9.40167236328125,0.9910590052604675,0.910247688293457,9.40167236328125,24.63433288782835,0.3816491563255017,0.8846153846153846
ifevalg-rl,vector_single1_layers0-20_lr1e-2,5,26,9.388494491577148,0.9913566708564758,0.9102305340766906,9.388494491577148,24.398263558745384,0.38480174906594566,0.8846153846153846
ifevalg-rl,vector_single1_layers0-20_lr1e-2,6,26,9.541259765625,0.9916250705718994,0.9108967924118042,9.541259765625,24.55818861722946,0.38851642986938667,0.8846153846153846
ifevalg-rl,vector_single1_layers0-20_lr1e-2,7,26,9.777955055236816,0.992383599281311,0.9107159018516541,9.777955055236816,24.719131872057915,0.3955622351887548,0.8846153846153846
ifevalg-rl,vector_single1_layers0-20_lr1e-2,8,26,9.894078254699707,0.9932615756988525,0.9113365817070007,9.894078254699707,24.621396392583847,0.4018487861915045,0.8846153846153846
ifevalg-rl,vector_single1_layers0-20_lr1e-2,9,26,10.137574195861816,0.9935048818588257,0.9103199601173401,10.137574195861816,25.35635095834732,0.3998041442364767,0.8846153846153846
ifevalg-rl,vector_single1_layers0-20_lr1e-2,10,26,10.199405670166016,0.9937285780906677,0.9111856484413147,10.199405670166016,25.297450482845306,0.4031791929816181,0.8846153846153846
ifevalg-rl,vector_single1_layers0-20_lr1e-2,11,26,10.208735466003418,0.9936574101448059,0.9115361523628235,10.208735466003418,25.061715692281723,0.4073438383608913,0.8846153846153846
ifevalg-rl,vector_single1_layers0-20_lr1e-2,12,26,10.517324447631836,0.9937178492546082,0.9119750022888183,10.517324447631836,25.164635255932808,0.41794066715718736,0.8846153846153846
ifevalg-rl,vector_single1_layers0-20_lr1e-2,13,26,10.369636535644531,0.9933560490608215,0.9117971396446228,10.369636535644531,25.260362654924393,0.41051020039979585,0.8846153846153846
ifevalg-rl,vector_single1_layers0-20_lr1e-2,14,26,10.635323524475098,0.9929922819137573,0.9127813076972962,10.635323524475098,25.488325849175453,0.4172625376577705,0.8846153846153846
ifevalg-rl,vector_single1_layers0-20_lr1e-2,15,26,10.673896789550781,0.9923708438873291,0.9123975014686585,10.673896789550781,25.39850700646639,0.4202568594615911,0.8846153846153846
